ID	комнат\тип	цена	район	ориентир	улица	этаж	этажность	общая площадь	жилая площадь	площадь кухни	схема	материал	с\у	балкон	состояние	телефон 1	комментарий
394487	3и	11	Балаклейский район	Балаклея	Октябрьская	3	5	60	48	8	разд	кир.	разд.	2 бал.заст.	жилое	095-348-19-65	
394488	3и	14	Балаклейский район	Балаклея	Октябрьская	2	9	63	44	7	разд	кир.	разд.	2 бал.заст.	косметика	095-348-19-65	
394490	3и	12	Балаклейский район	Балаклея	Октябрьская	1	5	65	43	8	разд	кир.	разд.	Балк. НЕТ	капитальный	095-867-14-93	
394491	3и	30	Балаклейский район	Балаклея	Соборная	3	9	82	32	27	разд	кир.	совм.	2 бал.заст.	капитальный	050-738-32-88	
394492	2и	11,8	Москалевка	з-д Шевченко	Основянская ул.	1	1	40	30	6	смеж	кир.	нет	Балк. НЕТ	косметика	099-019-76-58	
394493	1г	15	Салтовка 602м/р	ТЦ Французский бульвар	Фисановича ул.	1	2	30	22	4	разд	кир.	разд.	1 балк.заст.	косметика	099-019-76-58	
393325	3и	24,5	Одесская	ул. Волдайская	Достоевского ул.	2	2	43	30	6	2+1	кир.	совм.	1 балкон	капитальный	073-325-06-05	
393592	2и	22	Салтовка 602м/р	Метро Барабашова	Владислава Зубенко ул.	2	5	40	23	7	разд	пан.	совм.	1 балк.заст.	жилое	050-102-26-56	
393836	4и	19,9	Южный вокзал	ЮЖД	Карповский пер.	1	2	88	60	13	разд	кир.	совм.	Балк. НЕТ	жилое	096-863-72-26	
393962	2и	21	Салтовка 607м/р	М. Героев Труда	Героев Труда ул.	2	5	46	28	6	разд	пан.	совм.	1 балк.заст.	жилое	066-933-01-75	
394106	1и	16	Салтовка 625м/р	Класс	Амосова	4	9	33	20	6	разд	пан.	совм.	1 балк.заст.	жилое	777-777-7-	
394107	1и	18	Салтовка 625м/р	Класс	Салтовское шоссе	5	12	33	17	8	разд	пан.	совм.	1 балк.заст.	жилое	777-777-7-	
394391	2и	29,98	Новые Дома	метро Дворец Спорта		3	5	44	28	6	разд	пан.	совм.	1 балк.заст.	капитальный	095-648-00-67	
394234	1и	23,5	Салтовка 602м/р	Аура	Познанская ул.	4	9	32	17	6	разд	пан.	разд.	1 балк.заст.	косметика	050-029-85-30	
394278	3и	50	Центр	метро Университет	Маяковского ул.	5	5	72	50	11	разд	кир.	разд.	1 балк.заст.	жилое	095-736-56-30	
